family,category,python_reference,ir_adjoint,bwd_cpu_ir_oracle,bwd_target_lowered,bwd_runtime_bound,bwd_oracle_proven,bwd_device_verified_jit,bwd_device_verified_abi,build_evidence,notes,bwd_residual_policy,bwd_implementation
contrastive_loss,loss,yes,none,,,,,,,python_reference=python-unit-registry,,,
conv1d,model_layer,yes,none,,,,,,,python_reference=python-unit-registry,,,
conv2d,stencil,yes,none,,,,,,,python_reference=python-unit-registry,,,
conv3d,stencil,yes,none,,,,,,,python_reference=python-unit-registry,,,
conv_transpose,model_layer,yes,none,,,,,,,python_reference=python-unit-registry,,,
cos,elementwise,yes,none,,,,,,,python_reference=python-unit-registry,,,
cosh,elementwise,yes,none,,,,,,,python_reference=python-unit-registry,,,
cosine_embedding_loss,loss,yes,none,,,,,,,python_reference=python-unit-registry,,,
cross_attention,attention,yes,none,,,,,,,python_reference=python-unit-registry,,,
cross_entropy_loss,loss,yes,native,,rocm_gfx1151,"rocm_gfx1151,x86_avx512","rocm_gfx1151,x86_avx512",rocm_gfx1151,x86_avx512,python_reference=python-unit-registry;ir_adjoint=llvm23-core;device[rocm_gfx1151=LLVM/MLIR 23; ROCm 7.14; gfx1151];device[x86_avx512=LLVM/MLIR 23; Ryzen AI MAX+ 395 AVX-512],"native compiler adjoint; native backward executes on rocm_gfx1151, x86_avx512 (Phase 4)",rocm_gfx1151=save_inputs;x86_avx512=save_inputs,rocm_gfx1151=dedicated;x86_avx512=dedicated
ctc_loss,loss,yes,none,,,,,,,python_reference=python-unit-registry,,,
cummax,reduction,yes,none,,,,,,,python_reference=python-unit-registry,,,
cummin,reduction,yes,none,,,,,,,python_reference=python-unit-registry,,,
cumprod,reduction,yes,none,,,,,,,python_reference=python-unit-registry,,,
cumsum,reduction,yes,none,,,,,,,python_reference=python-unit-registry,,,
dct,spectral,yes,none,,,,,,,python_reference=python-unit-registry,,,
ddpm_noise_pred_loss,loss,yes,none,,,,,,,python_reference=python-unit-registry,,,
deepseek_sparse_attention,attention,yes,none,,,,,,,python_reference=python-unit-registry,,,
denoising_score_matching_loss,loss,yes,none,,,,,,,python_reference=python-unit-registry,,,
depthwise_conv1d,stencil,yes,none,,,,,,,python_reference=python-unit-registry,,,
dequant_matmul,quantization,yes,none,,,,,,,python_reference=python-unit-registry,,,
dequantize_fp4,quantize,yes,none,,,,,,,python_reference=python-unit-registry,,,
dequantize_fp6,quantize,yes,none,,,,,,,python_reference=python-unit-registry,,,
dequantize_fp8,quantize,yes,none,,,,,,,python_reference=python-unit-registry,,,
dequantize_int4,quantization,yes,none,,,,,,,python_reference=python-unit-registry,,,
dequantize_int8,quantization,yes,none,,,,,,,python_reference=python-unit-registry,,,
dequantize_nvfp4,quantize,yes,none,,,,,,,python_reference=python-unit-registry,,,
digamma,elementwise,yes,none,,,,,,,python_reference=python-unit-registry,,,
div,elementwise,yes,none,,,,,,,python_reference=python-unit-registry,,,
dropout,random_mask,yes,none,,,,,,,python_reference=python-unit-registry,,,
dynamic_slice,indexing,yes,none,,,,,,,python_reference=python-unit-registry,,,
dynamic_update_slice,indexing,yes,none,,,,,,,python_reference=python-unit-registry,,,
ebm_energy_quadratic,ebm,yes,none,,,,,,,python_reference=python-unit-registry,,,
ebm_inner_step,ebm,yes,none,,,,,,,python_reference=python-unit-registry,,,
ebm_refinement,ebm,yes,none,,,,,,,python_reference=python-unit-registry,,,
ebm_self_verify,ebm,yes,none,,,,,,,python_reference=python-unit-registry,,,
einsum,contraction,yes,none,,,,,,,python_reference=python-unit-registry,,,
erf,elementwise,yes,none,,,,,,,python_reference=python-unit-registry,,,
erfc,elementwise,yes,none,,,,,,,python_reference=python-unit-registry,,,
exp,elementwise,yes,none,,,,,,,python_reference=python-unit-registry,,,
expand,tensor_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
expm1,elementwise,yes,none,,,,,,,python_reference=python-unit-registry,,,
factorized_matmul,loop_nest,yes,none,,,,,,,python_reference=python-unit-registry,,,
factorized_pos_emb,position_encoding,yes,none,,,,,,,python_reference=python-unit-registry,,,
fake_quantize,quantization,yes,none,,,,,,,python_reference=python-unit-registry,,,
fft,spectral,yes,none,,,,,,,python_reference=python-unit-registry,,,
flash_attn,attention,yes,none,,"nvidia_sm120,rocm_gfx1151","nvidia_sm120,rocm_gfx1151","nvidia_sm120,rocm_gfx1151","nvidia_sm120,rocm_gfx1151",,python_reference=python-unit-registry;device[nvidia_sm120=cuda13.3+sm120];device[rocm_gfx1151=llvm23-core+rocm-gfx1151],"native backward executes on nvidia_sm120, rocm_gfx1151 (Phase 4)",nvidia_sm120=recompute_all;rocm_gfx1151=recompute_all,nvidia_sm120=dedicated;rocm_gfx1151=dedicated
flatten,tensor_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
flip,tensor_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
floor_div,elementwise,yes,none,,,,,,,python_reference=python-unit-registry,,,
focal_loss,loss,yes,none,,,,,,,python_reference=python-unit-registry,,,
fused_epilogue,fused_epilogue,yes,none,,,,,,,python_reference=python-unit-registry,,,
gated_attention,attention,yes,none,,,,,,,python_reference=python-unit-registry,,,
gated_deltanet,attention,yes,none,,,,,,,python_reference=python-unit-registry,,,
gather,indexing,yes,none,,,,,,,python_reference=python-unit-registry,,,
gelu,elementwise,yes,native,cpu,,,,,,python_reference=python-unit-registry;ir_adjoint=llvm23-core;bwd_cpu_ir_oracle=llvm23-core,native compiler adjoint,,
gemm,loop_nest,yes,none,,,,,,,python_reference=python-unit-registry,,,
gqa_attention,attention,yes,none,,"nvidia_sm120,rocm_gfx1151","nvidia_sm120,rocm_gfx1151","nvidia_sm120,rocm_gfx1151","nvidia_sm120,rocm_gfx1151",,python_reference=python-unit-registry;device[nvidia_sm120=cuda13.3+sm120];device[rocm_gfx1151=llvm23-core+rocm-gfx1151],"native backward executes on nvidia_sm120, rocm_gfx1151 (Phase 4)",nvidia_sm120=recompute_all;rocm_gfx1151=recompute_all,nvidia_sm120=dedicated;rocm_gfx1151=dedicated
grad_scaler_step,numerics,yes,none,,,,,,,python_reference=python-unit-registry,,,
group_norm,normalization,yes,none,,,,,,,python_reference=python-unit-registry,,,
grouped_gemm,loop_nest,yes,none,,,,,,,python_reference=python-unit-registry,,,
grpo_policy_loss,rl_loss,yes,none,,,,,,,python_reference=python-unit-registry,,,
gru_cell,recurrent,yes,none,,,,,,,python_reference=python-unit-registry,,,
huber_loss,loss,yes,native,cpu,rocm_gfx1151,"rocm_gfx1151,x86_avx512","rocm_gfx1151,x86_avx512",rocm_gfx1151,x86_avx512,python_reference=python-unit-registry;ir_adjoint=llvm23-core;bwd_cpu_ir_oracle=llvm23-core;device[rocm_gfx1151=LLVM/MLIR 23; ROCm 7.14; gfx1151];device[x86_avx512=LLVM/MLIR 23; Ryzen AI MAX+ 395 AVX-512],"native compiler adjoint; native backward executes on rocm_gfx1151, x86_avx512 (Phase 4)",rocm_gfx1151=save_inputs;x86_avx512=save_inputs,rocm_gfx1151=dedicated;x86_avx512=dedicated
hybrid_attention,attention,yes,none,,,,,,,python_reference=python-unit-registry,,,
ifft,spectral,yes,none,,,,,,,python_reference=python-unit-registry,,,
image_normalize,vision,yes,none,,,,,,,python_reference=python-unit-registry,,,
image_resize,vision,yes,none,,,,,,,python_reference=python-unit-registry,,,
implicit_score_matching_loss,loss,yes,none,,,,,,,python_reference=python-unit-registry,,,
index_select,indexing,yes,none,,,,,,,python_reference=python-unit-registry,,,
index_update,indexing,yes,none,,,,,,,python_reference=python-unit-registry,,,
info_nce_loss,loss,yes,none,,,,,,,python_reference=python-unit-registry,,,
instance_norm,normalization,yes,none,,,,,,,python_reference=python-unit-registry,,,
interpolate,vision,yes,none,,,,,,,python_reference=python-unit-registry,,,
irfft,spectral,yes,none,,,,,,,python_reference=python-unit-registry,,,
istft,spectral,yes,none,,,,,,,python_reference=python-unit-registry,,,
js_divergence,loss,yes,none,,,,,,,python_reference=python-unit-registry,,,
kimi_delta_attention,attention,yes,none,,,,,,,python_reference=python-unit-registry,,,
kl_divergence,loss,yes,none,,,,,,,python_reference=python-unit-registry,,,
label_smoothed_cross_entropy,loss,yes,none,,,,,,,python_reference=python-unit-registry,,,
lamb,optimizer,yes,none,,,,,,,python_reference=python-unit-registry,,,
latent_kv_compress,loop_nest,yes,none,,,,,,,python_reference=python-unit-registry,,,
latent_kv_expand_k,loop_nest,yes,none,,,,,,,python_reference=python-unit-registry,,,
latent_kv_expand_v,loop_nest,yes,none,,,,,,,python_reference=python-unit-registry,,,
layer_norm,normalization,yes,native,cpu,,"rocm_gfx1151,x86_avx512","rocm_gfx1151,x86_avx512",,"rocm_gfx1151,x86_avx512",python_reference=python-unit-registry;ir_adjoint=llvm23-core;bwd_cpu_ir_oracle=llvm23-core;device[rocm_gfx1151=LLVM/MLIR 23; ROCm 7.14; gfx1151];device[x86_avx512=LLVM/MLIR 23; Ryzen AI MAX+ 395 AVX-512],"native compiler adjoint; native backward executes on rocm_gfx1151, x86_avx512 (Phase 4)",rocm_gfx1151=recompute_all;x86_avx512=recompute_all,rocm_gfx1151=dedicated;x86_avx512=dedicated
lgamma,elementwise,yes,none,,,,,,,python_reference=python-unit-registry,,,
lightning_attention,attention,yes,none,,nvidia_sm120,nvidia_sm120,nvidia_sm120,nvidia_sm120,,python_reference=python-unit-registry;device[nvidia_sm120=cuda13.3+sm120],native backward executes on nvidia_sm120 (Phase 4),nvidia_sm120=recompute_all,nvidia_sm120=dedicated
linear_attn,attention,yes,none,,nvidia_sm120,nvidia_sm120,nvidia_sm120,nvidia_sm120,,python_reference=python-unit-registry;device[nvidia_sm120=cuda13.3+sm120],native backward executes on nvidia_sm120 (Phase 4),nvidia_sm120=recompute_all,nvidia_sm120=dedicated
linear_attn_state,attention,yes,none,,,,,,,python_reference=python-unit-registry,,,
linear_general,model_layer,yes,none,,,,,,,python_reference=python-unit-registry,,,
lion,functional_optimizer_step,yes,none,,,,,,,python_reference=python-unit-registry,,,
load_balance_loss,loss,yes,none,,,,,,,python_reference=python-unit-registry,,,
log,elementwise,yes,none,,,,,,,python_reference=python-unit-registry,,,
log1p,elementwise,yes,none,,,,,,,python_reference=python-unit-registry,,,
log_cosh_loss,loss,yes,none,,,,,,,python_reference=python-unit-registry,,,
log_softmax,stable_reduction,yes,placeholder,,,,,,,python_reference=python-unit-registry;ir_adjoint=llvm23-core,custom_adjoint_call → Python VJP (not native IR),,
logsumexp,stable_reduction,yes,none,,,,,,,python_reference=python-unit-registry,,,
lookahead_sparse_attention,attention,yes,none,,,,,,,python_reference=python-unit-registry,,,
lora_linear,model_layer,yes,none,,,,,,,python_reference=python-unit-registry,,,
mae_loss,loss,yes,native,cpu,rocm_gfx1151,"rocm_gfx1151,x86_avx512","rocm_gfx1151,x86_avx512",rocm_gfx1151,x86_avx512,python_reference=python-unit-registry;ir_adjoint=llvm23-core;bwd_cpu_ir_oracle=llvm23-core;device[rocm_gfx1151=LLVM/MLIR 23; ROCm 7.14; gfx1151];device[x86_avx512=LLVM/MLIR 23; Ryzen AI MAX+ 395 AVX-512],"native compiler adjoint; native backward executes on rocm_gfx1151, x86_avx512 (Phase 4)",rocm_gfx1151=save_inputs;x86_avx512=save_inputs,rocm_gfx1151=dedicated;x86_avx512=dedicated
masked_fill,layout_transform,yes,none,,,,,,,python_reference=python-unit-registry,,,
masked_scatter,indexing,yes,none,,,,,,,python_reference=python-unit-registry,,,
matmul,loop_nest,yes,native,cpu,"cpu_x86_64,rocm_gfx1151","cpu_x86_64,rocm_gfx1151","cpu_x86_64,rocm_gfx1151","cpu_x86_64,rocm_gfx1151",,python_reference=python-unit-registry;ir_adjoint=llvm23-core;bwd_cpu_ir_oracle=llvm23-core;device[cpu_x86_64=llvm23-core+x86_64-jit];device[rocm_gfx1151=llvm23-core+rocm-gfx1151],"native static-shape adjoint (W5); dynamic → placeholder; native backward executes on cpu_x86_64, rocm_gfx1151 (Phase 4)",rocm_gfx1151=save_inputs,rocm_gfx1151=composition
max,reduction,yes,native,cpu,,,,,,python_reference=python-unit-registry;ir_adjoint=llvm23-core;bwd_cpu_ir_oracle=llvm23-core,native compiler adjoint (static extent required for mean),,
max_pool,pooling,yes,none,,,,,,,python_reference=python-unit-registry,,,
maximum,numeric_helper,yes,none,,,,,,,python_reference=python-unit-registry,,,
mean,reduction,yes,native,cpu,,,,,,python_reference=python-unit-registry;ir_adjoint=llvm23-core;bwd_cpu_ir_oracle=llvm23-core,native compiler adjoint (static extent required for mean),,
memory_index_score,attention,yes,none,,,,,,,python_reference=python-unit-registry,,,
memory_index_select_ste,indexing,yes,none,,,,,,,python_reference=python-unit-registry,,,
memory_read,memory,yes,none,,,,,,,python_reference=python-unit-registry,,,
min,reduction,yes,native,cpu,,,,,,python_reference=python-unit-registry;ir_adjoint=llvm23-core;bwd_cpu_ir_oracle=llvm23-core,native compiler adjoint (static extent required for mean),,
min_pool,pooling,yes,none,,,,,,,python_reference=python-unit-registry,,,
minimum,numeric_helper,yes,none,,,,,,,python_reference=python-unit-registry,,,
mla_decode,attention,yes,none,,,,,,,python_reference=python-unit-registry,,,
mla_decode_fused,attention,yes,none,,,,,,,python_reference=python-unit-registry,,,
mod,elementwise,yes,none,,,,,,,python_reference=python-unit-registry,,,
modified_delta_attention,attention,yes,none,,,,,,,python_reference=python-unit-registry,,,
moe,moe,yes,none,,,,,,,python_reference=python-unit-registry,,,
moe_combine,moe_transport,yes,none,,,,,,,python_reference=python-unit-registry,,,
moe_dispatch,moe_transport,yes,none,,,,,,,python_reference=python-unit-registry,,,
momentum,functional_optimizer_step,yes,native,,,,,,,python_reference=python-unit-registry;ir_adjoint=llvm23-core,native compiler adjoint,,
mor_partition,layout_transform,yes,none,,,,,,,python_reference=python-unit-registry,,,
mor_router,layout_transform,yes,none,,,,,,,python_reference=python-unit-registry,,,
mor_scatter,layout_transform,yes,none,,,,,,,python_reference=python-unit-registry,,,
mqa_attention,attention,yes,none,,"nvidia_sm120,rocm_gfx1151","nvidia_sm120,rocm_gfx1151","nvidia_sm120,rocm_gfx1151","nvidia_sm120,rocm_gfx1151",,python_reference=python-unit-registry;device[nvidia_sm120=cuda13.3+sm120];device[rocm_gfx1151=llvm23-core+rocm-gfx1151],"native backward executes on nvidia_sm120, rocm_gfx1151 (Phase 4)",nvidia_sm120=recompute_all;rocm_gfx1151=recompute_all,nvidia_sm120=dedicated;rocm_gfx1151=dedicated
mrope_2d,rotary_embedding,yes,none,,,,,,,python_reference=python-unit-registry,,,
msa_index_scores,attention,yes,none,,,,,,,python_reference=python-unit-registry,,,
msa_sparse_attention,attention,yes,none,,,,,,,python_reference=python-unit-registry,,,
mse_loss,loss,yes,native,cpu,rocm_gfx1151,"rocm_gfx1151,x86_avx512","rocm_gfx1151,x86_avx512",rocm_gfx1151,x86_avx512,python_reference=python-unit-registry;ir_adjoint=llvm23-core;bwd_cpu_ir_oracle=llvm23-core;device[rocm_gfx1151=LLVM/MLIR 23; ROCm 7.14; gfx1151];device[x86_avx512=LLVM/MLIR 23; Ryzen AI MAX+ 395 AVX-512],"native compiler adjoint; native backward executes on rocm_gfx1151, x86_avx512 (Phase 4)",rocm_gfx1151=save_inputs;x86_avx512=save_inputs,rocm_gfx1151=dedicated;x86_avx512=dedicated
mul,elementwise,yes,native,cpu,,,,,,python_reference=python-unit-registry;ir_adjoint=llvm23-core;bwd_cpu_ir_oracle=llvm23-core,native compiler adjoint,,
multi_head_attention,attention,yes,none,,"nvidia_sm120,rocm_gfx1151","nvidia_sm120,rocm_gfx1151","nvidia_sm120,rocm_gfx1151","nvidia_sm120,rocm_gfx1151",,python_reference=python-unit-registry;device[nvidia_sm120=cuda13.3+sm120];device[rocm_gfx1151=llvm23-core+rocm-gfx1151],"native backward executes on nvidia_sm120, rocm_gfx1151 (Phase 4)",nvidia_sm120=recompute_all;rocm_gfx1151=recompute_all,nvidia_sm120=dedicated;rocm_gfx1151=dedicated
muon,optimizer,yes,none,,,,,,,python_reference=python-unit-registry,,,
nesterov,functional_optimizer_step,yes,native,,,,,,,python_reference=python-unit-registry;ir_adjoint=llvm23-core,native compiler adjoint,,
normalize_group_advantages,rl_loss,yes,none,,,,,,,python_reference=python-unit-registry,,,
nt_xent_loss,loss,yes,none,,,,,,,python_reference=python-unit-registry,,,
ntk_rope,position_encoding,yes,none,,,,,,,python_reference=python-unit-registry,,,
online_softmax,stable_reduction,yes,none,,,,,,,python_reference=python-unit-registry,,,
online_softmax_state,state_update,yes,none,,,,,,,python_reference=python-unit-registry,,,
pad,tensor_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
patchify,layout_transform,yes,none,,,,,,,python_reference=python-unit-registry,,,
perceiver_resampler,attention,yes,none,,,,,,,python_reference=python-unit-registry,,,
permute,tensor_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
persistent_cd_loss,loss,yes,none,,,,,,,python_reference=python-unit-registry,,,
pixel_shuffle,layout_transform,yes,none,,,,,,,python_reference=python-unit-registry,,,
pixel_unshuffle,layout_transform,yes,none,,,,,,,python_reference=python-unit-registry,,,
pmax,collective,yes,none,,,,,,,python_reference=python-unit-registry,,,
pmean,collective,yes,none,,,,,,,python_reference=python-unit-registry,,,
pmin,collective,yes,none,,,,,,,python_reference=python-unit-registry,,,
pow,elementwise,yes,none,,,,,,,python_reference=python-unit-registry,,,
power_attn,attention,yes,none,,,,,,,python_reference=python-unit-registry,,,
ppo_policy_loss,rl_loss,yes,none,,,,,,,python_reference=python-unit-registry,,,
prod,reduction,yes,none,,,,,,,python_reference=python-unit-registry,,,
psum,collective,yes,none,,,,,,,python_reference=python-unit-registry,,,
qkv_projection,projection,yes,none,,,,,,,python_reference=python-unit-registry,,,
qr,linalg_decomposition,yes,none,,,,,,,python_reference=python-unit-registry,,,
quantize_fp4,quantize,yes,none,,,,,,,python_reference=python-unit-registry,,,
quantize_fp6,quantize,yes,none,,,,,,,python_reference=python-unit-registry,,,
quantize_fp8,quantize,yes,none,,,,,,,python_reference=python-unit-registry,,,
quantize_int4,quantization,yes,none,,,,,,,python_reference=python-unit-registry,,,
quantize_int8,quantization,yes,none,,,,,,,python_reference=python-unit-registry,,,
quantize_nvfp4,quantize,yes,none,,,,,,,python_reference=python-unit-registry,,,
quantized_matmul,loop_nest,yes,none,,,,,,,python_reference=python-unit-registry,,,
reciprocal,numeric_helper,yes,none,,,,,,,python_reference=python-unit-registry,,,
reduce,stable_reduction,yes,native,,,,,,,python_reference=python-unit-registry;ir_adjoint=llvm23-core,"kind-aware Graph adjoint: native=max,mean,min,sum; placeholder=none",,
reduce_scatter,collective,yes,native,,,,,,,python_reference=python-unit-registry;ir_adjoint=llvm23-core,native compiler adjoint,,
relu,elementwise,yes,native,cpu,,,,,,python_reference=python-unit-registry;ir_adjoint=llvm23-core;bwd_cpu_ir_oracle=llvm23-core,native compiler adjoint,,
repeat,tensor_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
reshape,tensor_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
retention,attention,yes,none,,nvidia_sm120,nvidia_sm120,nvidia_sm120,nvidia_sm120,,python_reference=python-unit-registry;device[nvidia_sm120=cuda13.3+sm120],native backward executes on nvidia_sm120 (Phase 4),nvidia_sm120=recompute_all,nvidia_sm120=dedicated
rfft,spectral,yes,none,,,,,,,python_reference=python-unit-registry,,,
rmsnorm,normalization,yes,native,cpu,,"rocm_gfx1151,x86_avx512","rocm_gfx1151,x86_avx512",,"rocm_gfx1151,x86_avx512",python_reference=python-unit-registry;ir_adjoint=llvm23-core;bwd_cpu_ir_oracle=llvm23-core;device[rocm_gfx1151=LLVM/MLIR 23; ROCm 7.14; gfx1151];device[x86_avx512=LLVM/MLIR 23; Ryzen AI MAX+ 395 AVX-512],"native compiler adjoint; native backward executes on rocm_gfx1151, x86_avx512 (Phase 4)",rocm_gfx1151=recompute_all;x86_avx512=recompute_all,rocm_gfx1151=dedicated;x86_avx512=dedicated
rmsnorm_safe,normalization,yes,none,,,"rocm_gfx1151,x86_avx512","rocm_gfx1151,x86_avx512",,"rocm_gfx1151,x86_avx512",python_reference=python-unit-registry;device[rocm_gfx1151=LLVM/MLIR 23; ROCm 7.14; gfx1151];device[x86_avx512=LLVM/MLIR 23; Ryzen AI MAX+ 395 AVX-512],"native backward executes on rocm_gfx1151, x86_avx512 (Phase 4)",rocm_gfx1151=recompute_all;x86_avx512=recompute_all,rocm_gfx1151=dedicated;x86_avx512=dedicated
roll,tensor_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
rope,rotary_embedding,yes,none,,,,,,,python_reference=python-unit-registry,,,
rope_merge,layout_transform,yes,none,,,,,,,python_reference=python-unit-registry,,,
rope_split,layout_transform,yes,none,,,,,,,python_reference=python-unit-registry,,,
rsqrt,elementwise,yes,none,,,,,,,python_reference=python-unit-registry,,,
scatter,indexing,yes,none,,,,,,,python_reference=python-unit-registry,,,
scatter_add,indexing,yes,none,,,,,,,python_reference=python-unit-registry,,,
scatter_reduce,indexing,yes,none,,,,,,,python_reference=python-unit-registry,,,
score_matching_loss,loss,yes,none,,,,,,,python_reference=python-unit-registry,,,
sddmm,sparse,yes,none,,,,,,,python_reference=python-unit-registry,,,
segment_reduce,segment_reduce,yes,none,,,,,,,python_reference=python-unit-registry,,,
select,tensor_algebra,yes,none,,,,,,,python_reference=python-unit-registry,,,
selective_ssm,state_space,yes,none,,rocm_gfx1151,"rocm_gfx1151,x86_avx512","rocm_gfx1151,x86_avx512",rocm_gfx1151,x86_avx512,python_reference=python-unit-registry;device[rocm_gfx1151=llvm23-core+rocm-gfx1151];device[x86_avx512=x86-runtime-avx512],"native backward executes on rocm_gfx1151, x86_avx512 (Phase 4)",rocm_gfx1151=recompute_all,rocm_gfx1151=dedicated
seq2seq_loss,loss,yes,none,,,,,,,python_reference=python-unit-registry,,,
