op,family,api,frontend,graph_ir,schedule_ir,tile_ir,target_ir,runtime,bench
clifford_codiff,geometric_algebra,public,public,not_applicable,complete,fused,fused,ready,benchmarked
clifford_conjugate,geometric_algebra,public,public,not_applicable,complete,fused,fused,ready,benchmarked
clifford_exp,geometric_algebra,public,public,not_applicable,complete,fused,fused,ready,benchmarked
clifford_ext_deriv,geometric_algebra,public,public,not_applicable,complete,fused,fused,ready,benchmarked
clifford_geometric_product,geometric_algebra,public,public,not_applicable,complete,fused,fused,ready,benchmarked
clifford_grade_involution,geometric_algebra,public,public,not_applicable,complete,fused,fused,ready,benchmarked
clifford_grade_projection,geometric_algebra,public,public,not_applicable,complete,fused,fused,ready,benchmarked
clifford_hodge_star,geometric_algebra,public,public,not_applicable,complete,fused,fused,ready,benchmarked
clifford_inner,geometric_algebra,public,public,not_applicable,complete,fused,fused,ready,benchmarked
clifford_integral,geometric_algebra,public,public,not_applicable,complete,fused,fused,fused,benchmarked
clifford_left_contraction,geometric_algebra,public,public,not_applicable,complete,fused,fused,ready,benchmarked
clifford_log,geometric_algebra,public,public,not_applicable,complete,fused,fused,ready,benchmarked
clifford_norm,geometric_algebra,public,public,not_applicable,complete,fused,fused,ready,benchmarked
clifford_norm_squared,geometric_algebra,public,public,not_applicable,complete,fused,fused,ready,none
clifford_reverse,geometric_algebra,public,public,not_applicable,complete,fused,fused,ready,benchmarked
clifford_rotor_sandwich,geometric_algebra,public,public,not_applicable,complete,fused,fused,ready,benchmarked
clifford_vec_deriv,geometric_algebra,public,public,not_applicable,complete,fused,fused,ready,benchmarked
clifford_wedge,geometric_algebra,public,public,not_applicable,complete,fused,fused,ready,benchmarked
dynamic_slice,indexing,public,public,registered,complete,partial,reference,ready,none
dynamic_update_slice,indexing,public,public,registered,complete,partial,reference,ready,none
index_select,indexing,public,public,registered,complete,partial,reference,ready,none
index_update,indexing,public,public,registered,complete,partial,reference,ready,none
masked_categorical,indexing,public,public,registered,complete,partial,reference,ready,none
memory_index_select,indexing,public,public,registered,complete,partial,reference,ready,none
memory_index_select_ste,indexing,public,public,registered,complete,partial,reference,ready,none
msa_select_blocks,indexing,public,public,registered,complete,partial,reference,ready,none
nonzero,indexing,public,public,registered,complete,partial,reference,ready,none
scatter,indexing,public,public,registered,complete,partial,reference,ready,none
scatter_add,indexing,public,public,registered,complete,partial,reference,ready,none
scatter_reduce,indexing,public,public,registered,complete,partial,reference,ready,none
select,indexing,public,public,registered,complete,partial,reference,ready,none
slice,indexing,public,public,registered,complete,partial,reference,ready,none
take,indexing,public,public,registered,complete,partial,reference,ready,none
arange,layout_transform,public,public,registered,complete,partial,reference,ready,none
broadcast,layout_transform,public,public,registered,complete,partial,reference,ready,none
cast,layout_transform,public,public,registered,complete,partial,reference,ready,none
cat,layout_transform,public,public,registered,complete,partial,reference,ready,none
chunk,layout_transform,public,public,registered,complete,partial,reference,ready,none
expand,layout_transform,public,public,registered,complete,partial,reference,ready,none
flatten,layout_transform,public,public,registered,complete,partial,reference,ready,none
flip,layout_transform,public,public,registered,complete,partial,reference,ready,none
gather,layout_transform,public,public,registered,complete,partial,reference,ready,none
masked_fill,layout_transform,public,public,registered,complete,partial,reference,ready,none
mor_partition,layout_transform,public,public,registered,complete,partial,reference,ready,none
mor_router,layout_transform,public,public,registered,complete,partial,reference,ready,none
mor_scatter,layout_transform,public,public,registered,complete,partial,reference,ready,none
pack,layout_transform,public,public,registered,complete,partial,reference,ready,none
pad,layout_transform,public,public,registered,complete,partial,reference,ready,none
permute,layout_transform,public,public,registered,complete,partial,reference,ready,none
rearrange,layout_transform,public,public,registered,complete,partial,reference,ready,none
repeat,layout_transform,public,public,registered,complete,partial,reference,ready,none
reshape,layout_transform,public,public,registered,complete,partial,reference,ready,none
roll,layout_transform,public,public,registered,complete,partial,reference,ready,none
rope_merge,layout_transform,public,public,registered,complete,partial,reference,ready,none
rope_split,layout_transform,public,public,registered,complete,partial,reference,ready,none
split,layout_transform,public,public,registered,complete,partial,reference,ready,none
squeeze,layout_transform,public,public,registered,complete,partial,reference,ready,none
stack,layout_transform,public,public,registered,complete,partial,reference,ready,none
tile,layout_transform,public,public,registered,complete,partial,reference,ready,none
tile_view,layout_transform,public,public,registered,complete,partial,reference,ready,none
transpose,layout_transform,public,public,registered,complete,partial,reference,ready,none
unpack,layout_transform,public,public,registered,complete,partial,reference,ready,none
unsqueeze,layout_transform,public,public,registered,complete,partial,reference,ready,none
view,layout_transform,public,public,registered,complete,partial,reference,ready,none
cholesky,linalg_decomposition,public,public,registered,complete,partial,reference,ready,none
lu,linalg_decomposition,public,public,registered,complete,partial,reference,ready,none
qr,linalg_decomposition,public,public,registered,complete,partial,reference,ready,none
svd,linalg_decomposition,public,public,registered,complete,partial,reference,ready,none
cholesky_solve,linalg_solver,public,public,registered,complete,partial,reference,ready,none
tri_solve,linalg_solver,public,public,registered,complete,partial,reference,ready,none
bitwise_and,logical,public,public,registered,complete,partial,fused,ready,none
bitwise_not,logical,public,public,registered,complete,partial,fused,ready,none
bitwise_or,logical,public,public,registered,complete,partial,fused,ready,none
bitwise_xor,logical,public,public,registered,complete,partial,fused,ready,none
logical_and,logical,public,public,registered,complete,partial,fused,ready,none
logical_not,logical,public,public,registered,complete,partial,fused,ready,none
logical_or,logical,public,public,registered,complete,partial,fused,ready,none
logical_xor,logical,public,public,registered,complete,partial,fused,ready,none
batched_gemm,loop_nest,public,public,registered,complete,partial,fused,ready,none
dequant_grouped_gemm,loop_nest,public,public,registered,complete,partial,reference,ready,none
dequant_matmul,loop_nest,public,public,registered,complete,partial,fused,ready,none
factorized_matmul,loop_nest,public,public,registered,complete,partial,fused,ready,none
gemm,loop_nest,public,public,registered,complete,partial,fused,ready,benchmarked
grouped_gemm,loop_nest,public,public,registered,complete,partial,fused,ready,benchmarked
latent_kv_compress,loop_nest,public,public,registered,complete,partial,reference,ready,none
latent_kv_expand_k,loop_nest,public,public,registered,complete,partial,reference,ready,none
latent_kv_expand_v,loop_nest,public,public,registered,complete,partial,reference,ready,none
matmul,loop_nest,public,public,registered,complete,partial,fused,ready,benchmarked
moe_swiglu_block,loop_nest,public,public,registered,complete,partial,fused,ready,benchmarked
quantized_matmul,loop_nest,public,public,registered,complete,partial,reference,ready,none
asymmetric_bce,loss,public,public,registered,complete,partial,fused,ready,none
binary_cross_entropy_loss,loss,public,public,registered,complete,partial,fused,ready,none
contrastive_divergence_loss,loss,public,public,registered,complete,partial,reference,ready,none
cross_entropy_loss,loss,public,public,registered,complete,partial,fused,ready,none
ddpm_noise_pred_loss,loss,public,public,registered,complete,partial,reference,ready,none
denoising_score_matching_loss,loss,public,public,registered,complete,partial,reference,ready,none
huber_loss,loss,public,public,registered,complete,partial,fused,ready,none
implicit_score_matching_loss,loss,public,public,registered,complete,partial,reference,ready,none
js_divergence,loss,public,public,registered,complete,partial,fused,ready,none
kl_divergence,loss,public,public,registered,complete,partial,fused,ready,none
load_balance_loss,loss,public,public,registered,complete,partial,reference,ready,none
log_cosh_loss,loss,public,public,registered,complete,partial,fused,ready,none
mae_loss,loss,public,public,registered,complete,partial,fused,ready,none
mse_loss,loss,public,public,registered,complete,partial,fused,ready,none
persistent_cd_loss,loss,public,public,registered,complete,partial,reference,ready,none
score_matching_loss,loss,public,public,registered,complete,partial,reference,ready,none
smooth_l1_loss,loss,public,public,registered,complete,partial,fused,ready,none
vlb_loss,loss,public,public,registered,complete,partial,reference,ready,none
z_loss,loss,public,public,registered,complete,partial,fused,ready,none
linear_general,model_layer,public,public,registered,complete,partial,fused,ready,none
moe,moe,public,public,registered,complete,partial,reference,ready,none
moe_combine,moe_transport,public,public,registered,complete,partial,reference,ready,none
moe_dispatch,moe_transport,public,public,registered,complete,partial,reference,ready,none
group_norm,normalization,public,public,registered,complete,partial,reference,ready,none
instance_norm,normalization,public,public,registered,complete,partial,reference,ready,none
layer_norm,normalization,public,public,registered,complete,partial,fused,ready,none
rmsnorm,normalization,public,public,registered,complete,partial,fused,ready,benchmarked
rmsnorm_safe,normalization,public,public,registered,complete,partial,reference,ready,none
weight_norm,normalization,public,public,registered,complete,partial,reference,ready,none
abs,numeric_helper,public,public,registered,complete,partial,reference,ready,none
absolute,numeric_helper,public,public,registered,complete,partial,fused,ready,none
ceil,numeric_helper,public,public,registered,complete,partial,fused,ready,none
clamp,numeric_helper,public,public,registered,complete,partial,reference,ready,none
floor,numeric_helper,public,public,registered,complete,partial,fused,ready,none
isfinite,numeric_helper,public,public,registered,complete,partial,reference,ready,none
isinf,numeric_helper,public,public,registered,complete,partial,reference,ready,none
isnan,numeric_helper,public,public,registered,complete,partial,reference,ready,none
maximum,numeric_helper,public,public,registered,complete,partial,fused,ready,none
minimum,numeric_helper,public,public,registered,complete,partial,fused,ready,none
reciprocal,numeric_helper,public,public,registered,complete,partial,fused,ready,none
round,numeric_helper,public,public,registered,complete,partial,fused,ready,none
sign,numeric_helper,public,public,registered,complete,partial,fused,ready,none
trunc,numeric_helper,public,public,registered,complete,partial,fused,ready,none
where,numeric_helper,public,public,registered,complete,partial,fused,ready,none
alibi,position_encoding,public,public,registered,complete,partial,fused,ready,none
ntk_rope,position_encoding,public,public,registered,complete,partial,reference,ready,none
qkv_projection,projection,public,public,registered,complete,partial,fused,ready,none
dequantize_fp4,quantize,public,public,registered,complete,partial,fused,ready,none
dequantize_fp6,quantize,public,public,registered,complete,partial,fused,ready,none
dequantize_fp8,quantize,public,public,registered,complete,partial,fused,ready,none
dequantize_nvfp4,quantize,public,public,registered,complete,partial,fused,ready,none
quantize_fp4,quantize,public,public,registered,complete,partial,fused,ready,none
quantize_fp6,quantize,public,public,registered,complete,partial,fused,ready,none
quantize_fp8,quantize,public,public,registered,complete,partial,fused,ready,none
quantize_nvfp4,quantize,public,public,registered,complete,partial,fused,ready,none
dropout,random_mask,public,public,registered,complete,partial,reference,ready,none
rng_normal,random_source,public,public,registered,complete,partial,reference,ready,none
rng_uniform,random_source,public,public,registered,complete,partial,reference,ready,none
amax,reduction,public,public,registered,complete,partial,fused,ready,none
amin,reduction,public,public,registered,complete,partial,fused,ready,none
argmax,reduction,public,public,registered,complete,partial,fused,ready,none
argmin,reduction,public,public,registered,complete,partial,fused,ready,none
count_nonzero,reduction,public,public,registered,complete,partial,reference,ready,none
cummax,reduction,public,public,registered,complete,partial,fused,ready,none
cummin,reduction,public,public,registered,complete,partial,fused,ready,none
cumprod,reduction,public,public,registered,complete,partial,fused,ready,none
cumsum,reduction,public,public,registered,complete,partial,fused,ready,none
max,reduction,public,public,registered,complete,partial,fused,ready,none
mean,reduction,public,public,registered,complete,partial,fused,ready,none
min,reduction,public,public,registered,complete,partial,fused,ready,none
prod,reduction,public,public,registered,complete,partial,reference,ready,none
std,reduction,public,public,registered,complete,partial,reference,ready,none
var,reduction,public,public,registered,complete,partial,reference,ready,none
cispo_policy_loss,rl_loss,public,public,registered,complete,partial,fused,ready,none
grpo_policy_loss,rl_loss,public,public,registered,complete,partial,fused,ready,none
normalize_group_advantages,rl_loss,public,public,registered,complete,partial,fused,ready,none
ppo_policy_loss,rl_loss,public,public,registered,complete,partial,fused,ready,none
rope,rotary_embedding,public,public,registered,complete,partial,fused,ready,none
segment_reduce,segment_reduce,public,public,registered,complete,partial,reference,ready,none
argsort,sort,public,public,registered,complete,partial,reference,ready,none
sort,sort,public,public,registered,complete,partial,reference,ready,none
top_k,sort,public,public,registered,complete,partial,reference,ready,none
bsmm,sparse,public,public,registered,complete,partial,reference,ready,none
sddmm,sparse,public,public,registered,complete,partial,reference,ready,none
spmm_coo,sparse,public,public,registered,complete,partial,reference,ready,none
spmm_csr,sparse,public,public,registered,complete,partial,reference,ready,none
dct,spectral,public,public,registered,complete,partial,reference,ready,none
fft,spectral,public,public,registered,complete,partial,reference,ready,none
ifft,spectral,public,public,registered,complete,partial,reference,ready,none
irfft,spectral,public,public,registered,complete,partial,reference,ready,none
istft,spectral,public,public,registered,complete,partial,reference,ready,none
rfft,spectral,public,public,registered,complete,partial,reference,ready,none
spectral_conv,spectral,public,public,registered,complete,partial,reference,ready,none
spectral_filter,spectral,public,public,registered,complete,partial,reference,ready,none
stft,spectral,public,public,registered,complete,partial,reference,ready,none
log_softmax,stable_reduction,public,public,registered,complete,partial,reference,ready,none
logsumexp,stable_reduction,public,public,registered,complete,partial,reference,ready,none
reduce,stable_reduction,public,public,registered,complete,partial,reference,ready,none
sigmoid_safe,stable_reduction,public,public,registered,complete,partial,reference,ready,none
softmax,stable_reduction,public,public,registered,complete,partial,fused,ready,benchmarked
softmax_safe,stable_reduction,public,public,registered,complete,partial,reference,ready,none
sum,stable_reduction,public,public,registered,complete,partial,fused,ready,none
selective_ssm,state_space,public,public,registered,complete,partial,reference,ready,none
kv_cache_append,state_update,public,public,registered,complete,partial,reference,ready,none
kv_cache_prune,state_update,public,public,registered,complete,partial,reference,ready,none
kv_cache_read,state_update,public,public,registered,complete,partial,fused,ready,none
conv2d,stencil,public,public,registered,complete,partial,reference,ready,benchmarked
conv3d,stencil,public,public,registered,complete,partial,reference,ready,none
check_cauchy_riemann,visual_complex,public,public,registered,complete,partial,reference,ready,none
complex_abs,visual_complex,public,public,registered,complete,partial,reference,ready,none
complex_arg,visual_complex,public,public,registered,complete,partial,reference,ready,none
complex_conjugate,visual_complex,public,public,registered,complete,partial,reference,ready,none
complex_div,visual_complex,public,public,registered,complete,partial,reference,ready,none
complex_exp,visual_complex,public,public,not_applicable,complete,fused,fused,ready,none
complex_log,visual_complex,public,public,registered,complete,partial,reference,ready,none
complex_mul,visual_complex,public,public,not_applicable,complete,fused,fused,ready,none
complex_pow,visual_complex,public,public,registered,complete,partial,reference,ready,none
complex_sqrt,visual_complex,public,public,registered,complete,partial,reference,ready,none
conformal_energy_on_sphere,visual_complex,public,public,registered,complete,partial,reference,ready,none
conformal_jacobian,visual_complex,public,public,registered,complete,partial,reference,ready,none
cross_ratio,visual_complex,public,public,registered,complete,partial,reference,ready,none
dbar,visual_complex,public,public,registered,complete,partial,reference,ready,none
dz,visual_complex,public,public,registered,complete,partial,reference,ready,none
is_concyclic,visual_complex,public,public,registered,complete,partial,reference,ready,none
laplacian_2d,visual_complex,public,public,registered,complete,partial,reference,ready,none
mobius,visual_complex,public,public,not_applicable,complete,fused,fused,ready,none
mobius_from_three_points,visual_complex,public,public,registered,complete,partial,reference,ready,none
stereographic,visual_complex,public,public,not_applicable,complete,fused,fused,ready,none
